name,rss_feed_url,blog_url,category,quality_rating
UX Collective,https://uxdesign.cc/feed,https://uxdesign.cc,UX/UI Design,5
Nielsen Norman Group,https://www.nngroup.com/articles/feed,https://www.nngroup.com/articles,UX/UI Design,5
Smashing Magazine,https://www.smashingmagazine.com/feed,https://www.smashingmagazine.com,UX/UI Design,5
UX Planet,https://uxplanet.org/feed,https://uxplanet.org,UX/UI Design,4
Google Accessibility Blog,https://www.google.com/accessibility/blog/feed,https://www.google.com/accessibility/blog,UX/UI Design,5
Designlab,https://designlab.com/blog/feed,https://designlab.com/blog,UX/UI Design,4
UX Movement,https://uxmovement.com/feed,https://uxmovement.com,UX/UI Design,4
UX Booth,https://www.uxbooth.com/feed,https://www.uxbooth.com,UX/UI Design,4
Boxes and Arrows,https://boxesandarrows.com/feed,https://boxesandarrows.com,UX/UI Design,4
The Team W,https://www.blog.theteamw.com/feed,https://www.blog.theteamw.com,UX/UI Design,4
A List Apart,https://alistapart.com/articles/feed,https://alistapart.com,UX/UI Design,4
UX Matters,https://www.uxmatters.com/feed,https://www.uxmatters.com,UX/UI Design,4
Dribbble,https://dribbble.com/feed,https://dribbble.com,UX/UI Design,5
Abduzeedo,https://abduzeedo.com/feed,https://abduzeedo.com,UX/UI Design,4
Awwwards,https://www.awwwards.com/blog/feed,https://www.awwwards.com/blog,UX/UI Design,5
UXPin,https://www.uxpin.com/studio/blog/feed,https://www.uxpin.com/studio/blog,UX/UI Design,4
Creative Market Blog,https://creativemarket.com/blog/feed,https://creativemarket.com/blog,UX/UI Design,4
Web Design Ledger,https://webdesignledger.com/feed,https://webdesignledger.com,UX/UI Design,4
Codrops,https://tympanus.net/codrops/feed,https://tympanus.net/codrops,UX/UI Design,4
Design Shack,https://designshack.net/feed,https://designshack.net,UX/UI Design,4
HeyDesigner,https://heydesigner.com/feed,https://heydesigner.com,UX/UI Design,4
Inside Design by InVision,https://www.invisionapp.com/inside-design/feed,https://www.invisionapp.com/inside-design,UX/UI Design,4
UX Switch,https://www.uxswitch.com/thinking/feed,https://www.uxswitch.com/thinking,UX/UI Design,4
UX Writing Hub,https://uxwritinghub.com/blog/feed,https://uxwritinghub.com/blog,UX/UI Design,4
Stephanie Walter Design,https://stephaniewalter.design/blog/feed,https://stephaniewalter.design/blog,UX/UI Design,4
Chameleon,https://www.trychameleon.com/blog/feed,https://www.trychameleon.com/blog,UX/UI Design,4
Creative Boom,https://www.creativeboom.com/feed,https://www.creativeboom.com,UX/UI Design,4
Adam Fard Studio,https://adamfard.com/blog/feed,https://adamfard.com/blog,UX/UI Design,4
Onextrapixel,https://onextrapixel.com/feed,https://onextrapixel.com,UX/UI Design,4
UsabilityGeek,https://usabilitygeek.com/feed,https://usabilitygeek.com,UX/UI Design,4
It's Nice That,https://www.itsnicethat.com/feed,https://www.itsnicethat.com,UX/UI Design,4
Justinmind Blog,https://www.justinmind.com/blog/feed/,https://www.justinmind.com/blog,UX/UI Design,4
CreativeBloq,https://www.creativebloq.com/feed,https://www.creativebloq.com,UX/UI Design,4
Envato Tuts+,https://code.tutsplus.com/feed,https://code.tutsplus.com,UX/UI Design,4
Muzli,https://medium.muz.li/feed,https://medium.muz.li,UX/UI Design,4
Sidebar.io,https://sidebar.io/feed,https://sidebar.io,UX/UI Design,4
Layout by Flywheel,https://getflywheel.com/layout/feed,https://getflywheel.com/layout,UX/UI Design,4
Service Design Magazine,https://medium.com/service-design-tools/feed,https://medium.com/service-design-tools,UX/UI Design,3
Speckyboy,https://speckyboy.com/feed,https://speckyboy.com,UX/UI Design,4
UX Design Weekly,https://uxdesignweekly.com/feed,https://uxdesignweekly.com,UX/UI Design,4
UX Magazine,https://uxmag.com/feed,https://uxmag.com,UX/UI Design,4
UIDesignz,https://uidesignz.com/blogs/feed,https://uidesignz.com/blogs,UX/UI Design,3
Mockplus Blog,https://www.mockplus.com/blog/feed,https://www.mockplus.com/blog,UX/UI Design,4
